month,pop,time,type
Nov,5378870.458333335,avg,female
Oct,10584871.0,0,total
Oct,10572329.0,1,total
Oct,10564050.0,2,total
Oct,10559492.0,3,total
Oct,10559089.0,4,total
Oct,10565764.0,5,total
Oct,10594342.0,6,total
Oct,10698644.0,7,total
Oct,10841932.0,8,total
Oct,10950793.0,9,total
Oct,11011345.0,10,total
Oct,11049402.0,11,total
Oct,11084241.0,12,total
Oct,11115843.0,13,total
Oct,11134499.0,14,total
Oct,11136565.0,15,total
Oct,11130369.0,16,total
Oct,11118681.0,17,total
Oct,11067795.0,18,total
Oct,10971805.0,19,total
Oct,10899424.0,20,total
Oct,10826162.0,21,total
Oct,10733890.0,22,total
Oct,10609491.0,23,total
Oct,5020095.0,0,male
Oct,5012252.0,1,male
Oct,5007101.0,2,male
Oct,5004388.0,3,male
Oct,5004043.0,4,male
Oct,5007087.0,5,male
Oct,5022415.0,6,male
Oct,5075178.0,7,male
Oct,5135200.0,8,male
Oct,5179091.0,9,male
Oct,5201310.0,10,male
Oct,5214155.0,11,male
Oct,5228254.0,12,male
Oct,5243099.0,13,male
Oct,5253805.0,14,male
Oct,5257582.0,15,male
Oct,5260567.0,16,male
Oct,5262152.0,17,male
Oct,5246567.0,18,male
Oct,5205657.0,19,male
Oct,5173513.0,20,male
Oct,5140459.0,21,male
Oct,5096556.0,22,male
Oct,5033619.0,23,male
Oct,5564578.0,0,female
Oct,5559837.0,1,female
Oct,5556738.0,2,female
Oct,5554889.0,3,female
Oct,5554829.0,4,female
Oct,5558463.0,5,female
Oct,5571744.0,6,female
Oct,5623274.0,7,female
Oct,5706539.0,8,female
Oct,5771483.0,9,female
Oct,5809820.0,10,female
Oct,5835027.0,11,female
Oct,5855791.0,12,female
Oct,5872547.0,13,female
Oct,5880493.0,14,female
Oct,5878783.0,15,female
Oct,5869592.0,16,female
Oct,5856310.0,17,female
Oct,5821011.0,18,female
Oct,5765951.0,19,female
Oct,5725698.0,20,female
Oct,5685521.0,21,female
Oct,5637114.0,22,female
Oct,5575648.0,23,female
Oct,10849200.75,avg,total
Oct,5136839.375,avg,male
Oct,5712153.333333334,avg,female
Sept,10422569.0,0,total
Sept,10410633.0,1,total
Sept,10403176.0,2,total
Sept,10398682.0,3,total
Sept,10392723.0,4,total
Sept,10392756.0,5,total
Sept,10410987.0,6,total
Sept,10500375.0,7,total
Sept,10626906.0,8,total
Sept,10718109.0,9,total
Sept,10771883.0,10,total
Sept,10810302.0,11,total
Sept,10843791.0,12,total
Sept,10875729.0,13,total
Sept,10895423.0,14,total
Sept,10902137.0,15,total
Sept,10899830.0,16,total
Sept,10892887.0,17,total
Sept,10847735.0,18,total
Sept,10766588.0,19,total
Sept,10704636.0,20,total
Sept,10637165.0,21,total
Sept,10555614.0,22,total
Sept,10452177.0,23,total
Sept,4948219.0,0,male
Sept,4940744.0,1,male
Sept,4936035.0,2,male
Sept,4933271.0,3,male
Sept,4929763.0,4,male
Sept,4928838.0,5,male
Sept,4938352.0,6,male
Sept,4981646.0,7,male
Sept,5032331.0,8,male
Sept,5066798.0,9,male
Sept,5085240.0,10,male
Sept,5098187.0,11,male
Sept,5112287.0,12,male
Sept,5127841.0,13,male
Sept,5140042.0,14,male
Sept,5147076.0,15,male
Sept,5153589.0,16,male
Sept,5158017.0,17,male
Sept,5145417.0,18,male
Sept,5111424.0,19,male
Sept,5084648.0,20,male
Sept,5054543.0,21,male
Sept,5016444.0,22,male
Sept,4964576.0,23,male
Sept,5474147.0,0,female
Sept,5469675.0,1,female
Sept,5466930.0,2,female
Sept,5465187.0,3,female
Sept,5462724.0,4,female
Sept,5463707.0,5,female
Sept,5472416.0,6,female
Sept,5518523.0,7,female
Sept,5594381.0,8,female
Sept,5651124.0,9,female
Sept,5686436.0,10,female
Sept,5711905.0,11,female
Sept,5731319.0,12,female
Sept,5747669.0,13,female
Sept,5755175.0,14,female
Sept,5754852.0,15,female
Sept,5746033.0,16,female
Sept,5734661.0,17,female
Sept,5702122.0,18,female
Sept,5654946.0,19,female
Sept,5619782.0,20,female
Sept,5582421.0,21,female
Sept,5538970.0,22,female
Sept,5487399.0,23,female
Sept,10647200.541666672,avg,total
Sept,5043138.666666669,avg,male
Sept,5603854.333333331,avg,female
avg,10549643.916666662,0,total
avg,5259890.249999997,0,male
avg,5512587.916666667,0,female
avg,10536456.999999996,1,total
avg,5253314.291666669,1,male
avg,5507663.083333333,1,female
avg,10528432.749999994,2,total
avg,5249305.666666666,2,male
avg,5504680.33333333,2,female
avg,10523328.750000002,3,total
avg,5246755.291666665,3,male
avg,5502632.166666666,3,female
avg,10523189.750000002,4,total
avg,5246682.666666664,4,male
avg,5502757.500000003,4,female
avg,10528350.250000004,5,total
avg,5249265.208333332,5,male
avg,5505112.666666663,5,female
avg,10555518.166666662,6,total
avg,5262858.708333337,6,male
avg,5516870.583333333,6,female
avg,10661348.416666673,7,total
avg,5315774.541666667,7,male
avg,5569507.666666664,7,female
avg,10809296.416666666,8,total
avg,5389745.708333335,8,male
avg,5655934.833333337,8,female
avg,10919430.083333338,9,total
avg,5444743.333333328,9,male
avg,5721487.583333339,9,female
avg,10984275.250000002,10,total
avg,5477108.666666667,10,male
avg,5762546.333333335,10,female
avg,11027092.083333334,11,total
avg,5498466.125,11,male
avg,5791036.083333334,11,female
avg,11063394.666666664,12,total
avg,5516597.583333334,12,male
avg,5812862.25,12,female
avg,11097562.00000001,13,total
avg,5533663.166666667,13,male
avg,5831150.500000003,13,female
avg,11116024.749999996,14,total
avg,5542906.708333329,14,male
avg,5839242.499999999,14,female
avg,11118682.666666664,15,total
avg,5544257.666666671,15,male
avg,5836928.583333334,15,female
avg,11108823.583333334,16,total
avg,5539366.750000004,16,male
avg,5824380.666666666,16,female
avg,11093487.416666655,17,total
avg,5531752.416666665,17,male
avg,5807643.916666666,17,female
avg,11036113.166666655,18,total
avg,5503101.583333332,18,male
avg,5768293.499999998,18,female
avg,10932528.666666672,19,total
avg,5451353.624999998,19,male
avg,5709697.333333333,19,female
avg,10855941.333333336,20,total
avg,5413080.8749999935,20,male
avg,5667869.250000002,20,female
avg,10782128.916666662,21,total
avg,5376193.166666665,21,male
avg,5627780.08333333,21,female
avg,10691155.91666667,22,total
avg,5330681.916666667,22,male
avg,5580260.499999998,22,female
avg,10574848.75,23,total
avg,5272548.625000001,23,male
avg,5522920.833333334,23,female
avg,10817377.277777778,avg,total
avg,5393725.60590278,avg,male
avg,5661743.611111116,avg,female
