,adm_nm,adm_cd,adm_cd2,lng,lat
329,서울특별시 관악구 신림동,1121069,1162069500,126.9269003,37.48687278
330,서울특별시 관악구 난향동,1121071,1162071500,126.9184728,37.46186845
331,서울특별시 관악구 조원동,1121072,1162072500,126.9070036,37.48328687
332,서울특별시 관악구 대학동,1121073,1162073500,126.950365,37.4543518
333,서울특별시 관악구 은천동,1121078,1162060500,126.940577,37.48711233
334,서울특별시 관악구 성현동,1121079,1162056500,126.9507236,37.48978716
335,서울특별시 관악구 청룡동,1121080,1162059500,126.9443759,37.47760287
336,서울특별시 관악구 난곡동,1121081,1162077500,126.9204915,37.47031299
337,서울특별시 관악구 삼성동,1121082,1162074500,126.930513,37.46143457
338,서울특별시 관악구 미성동,1121083,1162076500,126.9162024,37.47420196
339,서울특별시 서초구 서초1동,1122051,1165051000,127.0204591,37.48643873
340,서울특별시 서초구 서초2동,1122052,1165052000,127.0278207,37.48908242
341,서울특별시 서초구 서초3동,1122053,1165053000,127.0100499,37.48565377
342,서울특별시 서초구 서초4동,1122054,1165053100,127.0200087,37.49926665
343,서울특별시 서초구 잠원동,1122055,1165054000,127.0128677,37.5180745
344,서울특별시 서초구 반포본동,1122056,1165055000,126.9873388,37.50635264
345,서울특별시 서초구 반포1동,1122057,1165056000,127.0168022,37.50519987
346,서울특별시 서초구 반포2동,1122058,1165057000,126.9954301,37.50694889
347,서울특별시 서초구 반포3동,1122059,1165058000,127.0038015,37.51276584
348,서울특별시 서초구 반포4동,1122060,1165058100,127.0015787,37.49986539
349,서울특별시 서초구 방배본동,1122061,1165059000,126.989056,37.49508037
350,서울특별시 서초구 방배1동,1122062,1165060000,126.9958906,37.48505125
351,서울특별시 서초구 방배2동,1122063,1165061000,126.9894146,37.4722888
352,서울특별시 서초구 방배3동,1122064,1165062000,126.997993,37.47450645
353,서울특별시 서초구 방배4동,1122065,1165062100,126.9914402,37.4897031
354,서울특별시 서초구 양재1동,1122066,1165065100,127.0236821,37.47046983
355,서울특별시 서초구 양재2동,1122067,1165065200,127.0464646,37.45456239
356,서울특별시 서초구 내곡동,1122068,1165066000,127.0696752,37.45222819
357,서울특별시 강남구 신사동,1123051,1168051000,127.0202449,37.5257591
358,서울특별시 강남구 논현1동,1123052,1168052100,127.0266642,37.51207794
359,서울특별시 강남구 논현2동,1123053,1168053100,127.035922,37.51518804
360,서울특별시 강남구 삼성1동,1123058,1168058000,127.0593678,37.51622927
361,서울특별시 강남구 삼성2동,1123059,1168059000,127.0484812,37.51141334
362,서울특별시 강남구 대치1동,1123060,1168060000,127.0590201,37.49327736
363,서울특별시 강남구 대치4동,1123063,1168063000,127.0549517,37.50195446
