bbl,bldgclass,bldgclass_letter,borough,counts,lng,lat
3052390060,A1,A,BK,164935,-73.95947946524927,40.63386602749826
3052390068,A1,A,BK,158105,-73.95937244682399,40.63331755806868
3052390070,A1,A,BK,157882,-73.95935015131872,40.633183785037076
3076280033,A1,A,BK,106371,-73.94791701621769,40.62346294474056
3053200107,A1,A,BK,142294,-73.97324025110021,40.648719293107284
3050430045,A1,A,BK,117188,-73.95386545702299,40.65827960576586
3077020003,A1,A,BK,71213,-73.94167427474288,40.611815772788965
3062540012,A1,A,BK,63249,-74.01338107878331,40.62081869781587
3062550051,A1,A,BK,46741,-74.01018836242906,40.61853563807651
3073990003,A1,A,BK,59510,-73.95618864867184,40.59422907823417
3070390001,A1,A,BK,62081,-74.01002337569008,40.575340326171776
3062640056,A1,A,BK,40398,-73.99048805397494,40.60660754275854
3062640071,A1,A,BK,42980,-73.99119259194138,40.607057911964944
3062640073,A1,A,BK,43602,-73.99133082407404,40.60714709398601
3062690022,A1,A,BK,38378,-74.0067949865274,40.61592706396024
3062690054,A1,A,BK,38701,-74.00647393125155,40.61537413542961
3076460046,A1,A,BK,120823,-73.94745326970813,40.62157674499495
3066610066,A1,A,BK,72694,-73.96911558262578,40.60618838725952
3066640071,A1,A,BK,67067,-73.96477241819971,40.60557303131413
3062780006,A1,A,BK,77589,-74.01479907291832,40.61970838165356
3062810062,A1,A,BK,45761,-74.00808812583288,40.61544102194542
3062880013,A1,A,BK,38389,-73.99220480788051,40.60620176456268
3062880017,A1,A,BK,37478,-73.99202644383838,40.60609028703634
3062880030,A1,A,BK,32379,-73.99119705104243,40.60559086771837
3062900037,A1,A,BK,73688,-74.01350593361283,40.618299305720676
3062900061,A1,A,BK,83039,-74.01471880909936,40.61854009717756
3062910054,A1,A,BK,73559,-74.01211915318521,40.61697049360676
3062930034,A1,A,BK,42129,-74.00739250606856,40.61447339701682
3062980047,A1,A,BK,38366,-73.99394831639242,40.60599218681317
3062980048,A1,A,BK,38576,-73.99402858021138,40.60604123692475
3063010006,A1,A,BK,108704,-74.01587817537326,40.61858914728915
3063010071,A1,A,BK,120629,-74.01582912526167,40.618299305720676
