기간,자치구,행정동,인구
기간,자치구,행정동,합계
기간,자치구,행정동,계
2019.2/4,중랑구,망우3동,"18,171"
2019.2/4,중랑구,신내1동,"41,005"
2019.2/4,중랑구,신내2동,"22,227"
2019.2/4,중랑구,면목본동,"36,405"
2019.2/4,중랑구,면목3.8동,"26,867"
2019.2/4,중랑구,망우본동,"31,536"
2019.2/4,성북구,소계,"452,292"
2019.2/4,성북구,돈암1동,"16,126"
2019.2/4,성북구,돈암2동,"25,104"
2019.2/4,성북구,안암동,"17,392"
2019.2/4,성북구,보문동,"16,865"
2019.2/4,성북구,정릉1동,"19,553"
2019.2/4,성북구,정릉2동,"24,093"
2019.2/4,성북구,정릉3동,"17,310"
2019.2/4,성북구,정릉4동,"26,995"
2019.2/4,성북구,길음1동,"37,307"
2019.2/4,성북구,길음2동,"16,272"
2019.2/4,성북구,월곡1동,"27,703"
2019.2/4,성북구,월곡2동,"20,631"
2019.2/4,성북구,장위1동,"21,032"
2019.2/4,성북구,장위2동,"14,373"
2019.2/4,성북구,장위3동,"11,811"
2019.2/4,성북구,성북동,"17,739"
2019.2/4,성북구,삼선동,"26,691"
2019.2/4,성북구,동선동,"16,368"
2019.2/4,성북구,종암동,"42,479"
2019.2/4,성북구,석관동,"36,448"
2019.2/4,강북구,소계,"319,377"
2019.2/4,강북구,번1동,"19,861"
2019.2/4,강북구,번2동,"17,389"
2019.2/4,강북구,번3동,"18,677"
2019.2/4,강북구,수유1동,"22,042"
2019.2/4,강북구,수유2동,"22,142"
2019.2/4,강북구,수유3동,"24,368"
2019.2/4,강북구,삼양동,"26,031"
2019.2/4,강북구,미아동,"23,064"
2019.2/4,강북구,송중동,"29,106"
2019.2/4,강북구,송천동,"29,031"
2019.2/4,강북구,삼각산동,"33,207"
2019.2/4,강북구,우이동,"21,497"
2019.2/4,강북구,인수동,"32,962"
2019.2/4,도봉구,소계,"339,001"
2019.2/4,도봉구,쌍문1동,"22,474"
2019.2/4,도봉구,쌍문2동,"20,290"
2019.2/4,도봉구,쌍문3동,"17,388"
2019.2/4,도봉구,쌍문4동,"19,941"
2019.2/4,도봉구,방학1동,"30,389"
2019.2/4,도봉구,방학2동,"21,381"
2019.2/4,도봉구,방학3동,"28,964"
2019.2/4,도봉구,창1동,"26,576"
2019.2/4,도봉구,창2동,"31,020"
2019.2/4,도봉구,창3동,"14,991"
2019.2/4,도봉구,창4동,"28,198"
2019.2/4,도봉구,창5동,"25,981"
2019.2/4,도봉구,도봉1동,"22,554"
2019.2/4,도봉구,도봉2동,"28,854"
2019.2/4,노원구,소계,"542,603"
2019.2/4,노원구,월계1동,"24,078"
2019.2/4,노원구,월계2동,"26,403"
2019.2/4,노원구,월계3동,"32,185"
2019.2/4,노원구,공릉2동,"41,310"
2019.2/4,노원구,하계1동,"29,792"
2019.2/4,노원구,하계2동,"23,600"
2019.2/4,노원구,중계본동,"26,404"
2019.2/4,노원구,중계1동,"28,181"
2019.2/4,노원구,중계4동,"21,538"
2019.2/4,노원구,상계1동,"40,580"
2019.2/4,노원구,상계2동,"21,458"
2019.2/4,노원구,상계5동,"25,922"
2019.2/4,노원구,상계8동,"24,202"
2019.2/4,노원구,상계9동,"22,118"
2019.2/4,노원구,상계10동,"16,783"
2019.2/4,노원구,상계3.4동,"26,206"
2019.2/4,노원구,상계6.7동,"35,043"
2019.2/4,노원구,중계2.3동,"37,278"
2019.2/4,노원구,공릉1동,"39,522"
2019.2/4,은평구,소계,"488,285"
2019.2/4,은평구,녹번동,"38,005"
2019.2/4,은평구,불광1동,"41,244"
2019.2/4,은평구,갈현1동,"24,862"
2019.2/4,은평구,갈현2동,"30,354"
2019.2/4,은평구,구산동,"34,024"
2019.2/4,은평구,대조동,"32,022"
2019.2/4,은평구,응암1동,"25,865"
